,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
602,1.8,.269,6.5,0.8,.300,2.5,1.8,30,0.5,5.3,2.5,.278,9.0,1.5,.750,2.0,4,3,NBA,18.5,2.8,2.0,Kris Humphries ,7.3,PF,0.8,1.0,8.0,PHO,.319
603,1.9,.557,3.3,0.4,.258,1.5,0.6,30,0.3,2.4,2.2,.465,4.8,1.5,.711,2.1,21,0,NBA,14.0,1.0,2.1,Kris Humphries ,6.4,PF,0.5,0.7,3.4,ATL,.505
604,1.2,.425,2.9,0.3,.352,1.0,0.5,31,0.4,2.6,1.6,.407,3.8,1.1,.780,1.5,56,4,NBA,12.3,1.1,1.2,Kris Humphries ,4.6,PF,0.3,0.5,3.7,ATL,.451
605,0.8,.533,1.5,0.0,,0.0,0.3,19,0.2,0.9,0.8,.533,1.5,0.6,.667,0.9,10,0,NBA,3.5,0.5,0.6,Kendrick Perkins ,2.2,C,0.0,0.5,1.4,BOS,.533
606,0.9,.471,2.0,0.0,,0.0,0.4,20,0.6,2.1,0.9,.471,2.0,0.6,.638,1.0,60,3,NBA,9.1,0.9,1.6,Kendrick Perkins ,2.5,C,0.2,0.7,2.9,BOS,.471
607,2.0,.519,3.9,0.0,.000,0.0,1.0,21,1.5,3.9,2.0,.515,3.9,1.2,.615,1.9,68,40,NBA,19.6,2.1,2.9,Kendrick Perkins ,5.2,C,0.3,1.6,5.9,BOS,.515
608,1.8,.496,3.7,0.0,.000,0.0,1.3,22,1.3,3.6,1.8,.491,3.7,0.8,.600,1.4,72,53,NBA,21.9,1.6,3.0,Kendrick Perkins ,4.5,C,0.3,1.6,5.2,BOS,.491
609,2.7,.617,4.4,0.0,.000,0.0,1.1,23,1.5,4.2,2.7,.615,4.5,1.5,.623,2.3,78,78,NBA,24.5,1.9,3.1,Kendrick Perkins ,6.9,C,0.4,1.6,6.1,BOS,.615
610,3.6,.580,6.3,0.0,.000,0.0,1.3,24,2.0,5.5,3.6,.577,6.3,1.3,.600,2.1,76,76,NBA,29.6,2.7,3.3,Kendrick Perkins ,8.5,C,0.3,2.2,8.1,BOS,.577
611,4.0,.605,6.7,0.0,.000,0.0,1.0,25,1.7,5.6,4.0,.602,6.7,2.1,.582,3.6,78,78,NBA,27.6,2.0,2.8,Kendrick Perkins ,10.1,C,0.3,2.1,7.6,BOS,.602
612,2.3,.515,4.5,0.0,,0.0,0.9,26,0.9,5.9,2.3,.515,4.5,1.4,.556,2.5,29,24,NBA,25.6,2.1,3.1,Kendrick Perkins ,6.0,C,0.3,1.9,8.0,TOT,.515
613,2.7,.542,4.9,0.0,,0.0,0.8,26,0.8,6.2,2.7,.542,4.9,1.9,.575,3.3,12,7,NBA,26.1,1.9,3.1,Kendrick Perkins ,7.3,C,0.2,2.1,8.1,BOS,.542
614,2.1,.493,4.2,0.0,,0.0,0.9,26,0.9,5.6,2.1,.493,4.2,1.0,.531,1.9,17,17,NBA,25.2,2.3,3.2,Kendrick Perkins ,5.1,C,0.4,1.8,7.9,OKC,.493
615,2.0,.489,4.0,0.0,,0.0,1.2,27,1.1,4.7,2.0,.489,4.0,1.1,.652,1.7,65,65,NBA,26.8,1.8,2.9,Kendrick Perkins ,5.1,C,0.4,1.8,6.6,OKC,.489
616,1.8,.458,4.0,0.0,.000,0.0,1.4,28,1.1,4.6,1.8,.457,4.0,0.6,.611,0.9,78,78,NBA,25.1,1.4,2.9,Kendrick Perkins ,4.2,C,0.6,1.4,6.0,OKC,.457
617,1.4,.453,3.1,0.0,.000,0.0,1.1,29,0.5,3.6,1.4,.451,3.1,0.6,.552,1.1,62,62,NBA,19.5,1.3,2.9,Kendrick Perkins ,3.4,C,0.4,1.5,4.9,OKC,.451
618,1.5,.451,3.3,0.0,.000,0.0,0.8,30,0.6,3.4,1.5,.449,3.3,0.6,.506,1.2,68,3,NBA,16.9,1.3,2.4,Kendrick Perkins ,3.6,C,0.2,1.4,4.7,TOT,.449
619,1.6,.443,3.6,0.0,.000,0.0,0.8,30,0.7,3.9,1.6,.441,3.6,0.7,.507,1.5,51,3,NBA,19.2,1.6,2.6,Kendrick Perkins ,4.0,C,0.3,1.5,5.5,OKC,.441
620,1.2,.488,2.4,0.0,,0.0,0.5,30,0.2,1.8,1.2,.488,2.4,0.2,.500,0.5,17,0,NBA,9.8,0.6,1.6,Kendrick Perkins ,2.6,C,0.1,1.2,2.4,CLE,.488
621,1.1,.533,2.0,0.0,,0.0,0.8,31,0.3,2.8,1.1,.533,2.0,0.3,.440,0.7,37,5,NBA,14.6,0.7,1.7,Kendrick Perkins ,2.5,C,0.3,1.1,3.5,NOP,.533
622,6.1,.447,13.7,0.0,.000,0.0,0.9,22,1.7,7.1,6.1,.447,13.7,2.9,.609,4.7,73,73,NBA,35.6,3.8,2.9,Emeka Okafor ,15.1,PF,0.8,1.7,10.9,CHA,.447
623,5.0,.415,12.2,0.0,,0.0,1.2,23,1.9,6.4,5.0,.415,12.2,3.2,.656,4.8,26,25,NBA,33.6,3.6,3.4,Emeka Okafor ,13.2,PF,0.8,2.0,10.0,CHA,.415
624,5.9,.532,11.0,0.0,,0.0,1.2,24,2.6,7.4,5.9,.532,11.0,2.6,.593,4.4,67,65,NBA,34.8,3.9,3.1,Emeka Okafor ,14.4,C,0.9,1.7,11.3,CHA,.532
625,5.6,.535,10.5,0.0,,0.0,0.9,25,1.7,7.6,5.6,.535,10.5,2.6,.570,4.6,82,82,NBA,33.1,3.1,2.9,Emeka Okafor ,13.8,C,0.8,2.0,10.7,CHA,.535
626,5.3,.561,9.4,0.0,,0.0,0.6,26,1.7,6.7,5.3,.561,9.4,2.7,.593,4.5,82,81,NBA,32.8,3.4,3.0,Emeka Okafor ,13.2,C,0.6,1.8,10.1,CHA,.561
627,4.2,.530,8.0,0.0,,0.0,0.7,27,1.5,6.0,4.2,.530,8.0,1.9,.562,3.3,82,82,NBA,28.9,3.1,2.7,Emeka Okafor ,10.4,C,0.7,1.4,9.0,NOH,.530
