,Unnamed: 0,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
439,439,1.2,0.583,2.1,0.0,,0.0,0.2,21,0.4,1.6,1.2,0.583,2.1,0.6,0.544,1.1,54,4.0,NBA,11.6,1.4,2.1,Jakob Poeltl ,3.1,C,0.3,0.5,3.1,TOR,0.583
440,440,2.8,0.667,4.3,0.0,,0.0,0.4,22,1.0,2.4,2.8,0.667,4.3,0.6,0.45799999999999996,1.3,19,0.0,NBA,14.8,2.1,2.0,Jakob Poeltl ,6.3,C,0.4,0.9,4.5,TOR,0.667
448,448,1.6,0.428,3.8,0.4,0.23600000000000002,1.5,2.6,27,0.0,1.5,2.0,0.374,5.3,1.0,0.8059999999999999,1.3,73,2.0,NBA,17.1,0.1,1.5,Malcom Delaney ,5.4,PG,0.5,1.3,1.7,ATL,0.40700000000000003
449,449,1.1,0.36,2.9,0.8,0.371,2.1,2.0,28,0.1,1.7,1.8,0.365,5.0,1.0,0.708,1.4,17,2.0,NBA,20.4,0.3,1.4,Malcom Delaney ,5.4,PG,0.8,1.2,2.0,ATL,0.441
453,453,1.4,0.514,2.7,0.5,0.371,1.5,0.6,22,1.0,2.1,1.9,0.46299999999999997,4.1,1.1,0.612,1.8,80,4.0,NBA,19.1,0.5,1.9,Jerian Grant ,5.5,PF,0.4,0.6,2.6,TOT,0.529
454,454,3.0,0.4,7.5,0.0,0.0,1.0,0.0,22,2.0,3.0,3.0,0.353,8.5,2.0,0.5,4.0,2,0.0,NBA,20.5,0.0,2.5,Jerian Grant ,8.0,PF,0.0,1.5,3.0,PHI,0.353
455,455,1.3,0.523,2.5,0.6,0.377,1.5,0.6,22,1.0,2.1,1.9,0.469,4.0,1.1,0.619,1.8,78,4.0,NBA,19.1,0.5,1.8,Jerian Grant ,5.4,PF,0.4,0.5,2.6,OKC,0.539
460,460,1.4,0.475,3.0,0.0,0.0,0.0,0.5,28,0.1,1.0,1.4,0.47100000000000003,3.1,0.6,0.522,1.2,39,0.0,NBA,9.4,1.4,1.4,Troy Williams ,3.5,SF,0.5,0.8,2.4,CHH,0.47100000000000003
461,461,0.8,0.462,1.6,0.0,,0.0,0.3,29,0.1,1.6,0.8,0.462,1.6,0.4,0.75,0.5,8,0.0,NBA,7.8,0.8,1.3,Troy Williams ,1.9,SF,0.3,0.8,2.4,CHH,0.462
463,463,0.3,0.667,0.4,0.6,0.364,1.6,0.0,23,0.0,0.4,0.9,0.429,2.0,0.0,,0.0,7,0.0,NBA,4.9,0.3,0.4,Robert Covington ,2.3,SF,0.3,0.1,0.7,HOU,0.5710000000000001
464,464,1.9,0.426,4.4,2.4,0.374,6.4,1.5,24,0.4,3.6,4.3,0.396,10.8,2.5,0.82,3.1,70,49.0,NBA,27.9,0.9,2.7,Robert Covington ,13.5,SF,1.4,1.8,4.5,PHI,0.506
465,465,1.6,0.452,3.4,2.5,0.353,7.2,1.4,25,0.6,5.3,4.1,0.385,10.6,2.1,0.7909999999999999,2.6,67,49.0,NBA,28.4,1.0,3.5,Robert Covington ,12.8,SF,1.6,2.1,6.3,PHI,0.504
466,466,2.3,0.484,4.8,2.0,0.33299999999999996,6.1,1.5,26,1.0,5.1,4.4,0.39899999999999997,10.9,2.1,0.8220000000000001,2.6,67,67.0,NBA,31.6,1.4,3.0,Robert Covington ,12.9,SF,1.9,2.0,6.5,PHI,0.49200000000000005
467,467,2.0,0.514,3.9,3.4,0.462,7.3,1.6,27,0.7,5.1,5.4,0.48,11.2,1.8,0.8,2.2,18,18.0,NBA,31.4,0.9,3.6,Robert Covington ,15.9,PF,1.7,1.6,6.0,PHI,0.631
468,468,2.2,0.446,4.9,0.6,0.295,2.0,2.6,21,0.5,2.1,2.8,0.402,7.0,1.2,0.805,1.5,73,26.0,NBA,22.5,0.4,2.4,Isaiah Whitehead ,7.4,PG,0.6,1.9,2.5,BRK,0.445
469,469,1.2,0.33299999999999996,3.6,0.2,0.5,0.4,1.6,22,0.4,1.4,1.4,0.35,4.0,0.6,0.5,1.2,5,0.0,NBA,9.8,0.0,1.2,Isaiah Whitehead ,3.6,PG,0.8,1.8,1.4,BRK,0.375
470,470,0.9,0.5329999999999999,1.7,0.4,0.265,1.5,0.5,22,0.5,2.1,1.3,0.406,3.2,0.8,0.8,1.0,55,9.0,NBA,11.8,0.3,0.8,Justin Anderson ,3.8,SF,0.3,0.4,2.4,DAL,0.469
471,471,1.7,0.522,3.3,0.8,0.299,2.6,0.9,23,0.3,2.3,2.5,0.424,5.9,1.4,0.7909999999999999,1.7,75,10.0,NBA,16.4,0.9,1.5,Justin Anderson ,7.1,SF,0.5,0.9,3.3,TOT,0.49
472,472,1.5,0.47700000000000004,3.0,0.7,0.303,2.4,0.6,23,0.3,2.2,2.2,0.401,5.4,1.4,0.795,1.7,51,2.0,NBA,13.9,0.8,1.3,Justin Anderson ,6.5,SF,0.5,0.8,2.9,DAL,0.46799999999999997
473,473,2.3,0.6,3.8,0.9,0.292,3.0,1.4,23,0.3,2.8,3.1,0.46299999999999997,6.8,1.3,0.78,1.7,24,8.0,NBA,21.6,1.3,1.9,Justin Anderson ,8.5,SF,0.5,1.1,4.0,PHI,0.528
474,474,0.9,0.409,2.2,0.9,0.34600000000000003,2.6,0.3,24,0.1,1.7,1.8,0.375,4.8,0.5,0.7140000000000001,0.7,10,0.0,NBA,12.6,1.0,1.9,Justin Anderson ,5.0,SF,0.3,0.4,2.7,PHI,0.469
479,479,0.4,0.423,1.0,0.4,0.39299999999999996,1.1,0.8,22,0.2,1.3,0.8,0.40700000000000003,2.1,0.2,1.0,0.2,52,2.0,NBA,13.3,0.2,1.7,Darius Miller ,2.3,SF,0.3,0.4,1.5,NOH,0.509
480,480,1.1,0.539,2.0,0.6,0.325,1.7,1.0,23,0.2,1.0,1.6,0.44,3.7,0.6,0.8059999999999999,0.8,45,7.0,NBA,16.1,0.2,2.0,Darius Miller ,4.4,SF,0.5,0.5,1.2,NOP,0.515
481,481,0.2,0.16699999999999998,1.2,0.0,0.0,0.2,0.4,24,0.0,0.2,0.2,0.14300000000000002,1.4,0.0,,0.0,5,1.0,NBA,8.6,0.0,1.6,Darius Miller ,0.4,SF,0.2,0.2,0.2,NOP,0.14300000000000002
482,482,0.6,0.579,1.0,1.8,0.479,3.7,0.9,27,0.1,1.6,2.3,0.5,4.6,0.6,0.846,0.7,20,1.0,NBA,17.1,0.2,1.7,Darius Miller ,6.9,SF,0.3,0.6,1.7,NOP,0.69
483,483,1.3,0.423,3.0,0.2,0.217,1.1,1.6,23,0.0,1.1,1.5,0.36700000000000005,4.1,0.5,0.8,0.6,41,0.0,NBA,9.4,0.1,0.7,Joseph Young ,3.8,PG,0.4,0.8,1.2,IND,0.396
484,484,0.6,0.429,1.5,0.2,0.217,0.7,0.5,24,0.0,0.5,0.8,0.361,2.2,0.3,0.733,0.5,33,0.0,NBA,4.1,0.0,0.2,Joseph Young ,2.1,PG,0.1,0.2,0.5,IND,0.396
485,485,1.0,0.579,1.7,0.1,0.1,0.9,0.6,25,0.0,0.6,1.1,0.414,2.6,0.4,0.5710000000000001,0.6,11,0.0,NBA,5.7,0.2,0.5,Joseph Young ,2.6,PG,0.1,0.2,0.8,IND,0.431
486,486,0.5,0.363,1.4,1.3,0.35100000000000003,3.6,1.1,23,0.1,2.5,1.8,0.354,5.1,0.2,0.778,0.3,57,0.0,NBA,17.1,0.2,1.5,Denzel Valentine ,5.1,SG,0.5,0.9,2.6,CHI,0.48100000000000004
487,487,1.6,0.33299999999999996,4.7,2.4,0.431,5.7,3.1,24,0.1,4.5,4.0,0.387,10.3,0.2,0.75,0.2,18,7.0,NBA,28.2,0.7,1.9,Denzel Valentine ,10.6,SG,0.8,1.1,5.2,CHI,0.505
490,490,2.0,0.47600000000000003,4.3,0.1,0.28600000000000003,0.5,1.5,21,0.6,4.0,2.2,0.457,4.8,1.3,0.7120000000000001,1.8,29,17.0,NBA,21.2,1.3,2.1,Rondae HollisJefferson ,5.8,SF,1.3,0.9,5.3,BRK,0.47100000000000003
491,491,2.8,0.46299999999999997,6.1,0.2,0.22399999999999998,0.9,2.0,22,0.6,4.6,3.0,0.434,6.9,2.4,0.7509999999999999,3.2,78,50.0,NBA,22.6,1.2,2.3,Rondae HollisJefferson ,8.7,SF,1.1,1.5,5.8,BRK,0.447
492,492,4.8,0.512,9.3,0.2,0.25,0.7,1.8,23,0.7,4.2,4.9,0.494,10.0,4.2,0.826,5.1,18,18.0,NBA,27.1,1.3,1.9,Rondae HollisJefferson ,14.3,SF,0.9,1.5,5.4,BRK,0.503
495,495,1.5,0.364,4.0,0.5,0.294,1.5,5.5,24,0.0,2.0,1.9,0.344,5.5,0.9,0.47600000000000003,1.9,11,3.0,NBA,21.7,0.5,2.4,Tim Frazier ,5.2,PG,0.7,2.3,2.5,TOT,0.385
496,496,1.7,0.313,5.3,0.5,0.273,1.8,7.2,24,0.0,2.5,2.2,0.302,7.2,0.8,0.33299999999999996,2.5,6,3.0,NBA,28.5,0.7,2.7,Tim Frazier ,5.7,PG,1.0,3.0,3.2,PHI,0.337
497,497,1.2,0.5,2.4,0.4,0.33299999999999996,1.2,3.4,24,0.0,1.4,1.6,0.444,3.6,1.0,0.833,1.2,5,0.0,NBA,13.6,0.4,2.0,Tim Frazier ,4.6,PG,0.4,1.4,1.8,POR,0.5
501,501,2.7,0.455,5.9,0.3,0.266,1.3,3.7,21,0.1,1.2,3.0,0.42100000000000004,7.2,0.9,0.775,1.2,61,15.0,NBA,18.4,0.3,1.2,Tyler Ulis ,7.3,PG,0.8,1.3,1.6,PHO,0.445
502,502,2.6,0.41100000000000003,6.2,0.3,0.2,1.5,3.8,22,0.1,1.4,2.9,0.37,7.7,1.4,0.8240000000000001,1.7,20,8.0,NBA,22.2,0.3,1.6,Tyler Ulis ,7.4,PG,1.2,1.9,1.7,PHO,0.39
504,504,0.7,0.511,1.3,0.0,,0.0,0.1,20,0.5,1.1,0.7,0.511,1.3,0.3,0.556,0.5,36,0.0,NBA,6.6,0.6,1.1,Deyonta Davis ,1.6,C,0.1,0.2,1.7,MEM,0.511
505,505,1.7,0.667,2.6,0.0,,0.0,0.4,21,0.7,2.7,1.7,0.667,2.6,0.6,0.667,0.9,7,0.0,NBA,11.3,0.6,1.9,Deyonta Davis ,4.0,C,0.3,0.4,3.3,MEM,0.667
508,508,1.3,0.451,2.8,0.8,0.33299999999999996,2.3,0.8,22,0.4,2.5,2.0,0.39799999999999996,5.0,0.7,0.775,0.9,44,18.0,NBA,19.2,0.3,1.8,Paul Zipser ,5.5,SF,0.3,0.9,2.8,CHI,0.473
509,509,1.1,0.34700000000000003,3.3,0.3,0.2,1.7,1.1,23,0.0,3.2,1.5,0.297,4.9,0.1,0.5,0.3,15,7.0,NBA,16.9,0.2,1.4,Paul Zipser ,3.4,SF,0.5,0.9,3.4,CHI,0.331
511,511,,,,,,,0.1,18,,,1.0,0.268,3.7,0.6,0.632,1.0,19,,BAA,,,0.8,Sterling Brown ,2.6,,,,,PHW,
512,512,,,,,,,0.6,22,,,1.5,0.349,4.2,0.7,0.556,1.2,15,,NBA,9.4,,2.1,Sterling Brown ,3.6,,,,1.1,PHW,
522,522,0.2,0.16699999999999998,1.2,0.8,0.667,1.2,0.0,24,0.4,1.6,1.0,0.41700000000000004,2.4,0.0,0.0,0.8,5,0.0,NBA,11.0,0.4,0.6,Josh Huestis ,2.8,PF,0.2,0.6,2.0,OKC,0.583
523,523,2.0,0.5710000000000001,3.5,1.0,0.5,2.0,1.5,25,1.5,2.5,3.0,0.545,5.5,0.0,0.0,0.5,2,0.0,NBA,15.5,2.0,0.0,Josh Huestis ,7.0,PF,0.0,0.0,4.5,OKC,0.636
524,524,0.1,0.222,0.6,0.6,0.29,1.9,0.4,26,0.6,1.3,0.7,0.275,2.5,0.1,0.5,0.3,16,0.0,NBA,11.3,0.3,1.6,Josh Huestis ,2.1,PF,0.4,0.6,1.6,OKC,0.38799999999999996
527,527,0.7,0.44799999999999995,1.5,0.5,0.28600000000000003,1.8,0.4,20,0.1,1.7,1.2,0.359,3.4,0.2,0.5,0.4,19,2.0,NBA,7.7,0.4,0.3,Henry Ellenson ,3.2,PF,0.1,0.7,2.2,DET,0.43799999999999994
528,528,1.2,0.389,3.0,1.2,0.389,3.0,0.7,21,0.0,2.7,2.3,0.389,6.0,0.2,1.0,0.2,6,0.0,NBA,12.5,0.2,1.0,Henry Ellenson ,6.0,PF,0.5,0.8,2.8,DET,0.486
536,536,2.7,0.429,6.3,1.1,0.35600000000000004,3.0,3.1,27,0.2,3.1,3.8,0.405,9.3,1.7,0.75,2.3,40,6.0,NBA,19.7,0.3,1.5,Tyreke Evans ,10.3,SF,0.9,1.5,3.4,TOT,0.462
537,537,2.7,0.446,6.0,0.8,0.3,2.7,3.5,27,0.2,3.1,3.5,0.401,8.7,1.7,0.7759999999999999,2.2,26,0.0,NBA,18.2,0.2,1.6,Tyreke Evans ,9.5,SF,0.9,1.5,3.3,NOP,0.447
538,538,2.7,0.4,6.8,1.5,0.43799999999999994,3.4,2.4,27,0.4,3.1,4.2,0.413,10.2,1.7,0.706,2.4,14,6.0,NBA,22.4,0.5,1.4,Tyreke Evans ,11.6,SF,0.9,1.6,3.6,SAC,0.486
541,541,3.3,0.536,6.2,0.0,0.0,0.1,0.8,19,0.9,3.1,3.3,0.529,6.3,0.8,0.653,1.3,38,11.0,NBA,16.0,1.1,1.7,Ivica Zubac ,7.5,C,0.4,0.8,4.2,LAL,0.529
542,542,0.4,0.4,1.0,0.0,,0.0,0.0,20,0.0,0.4,0.4,0.4,1.0,0.0,,0.0,5,0.0,NBA,2.4,0.4,0.4,Ivica Zubac ,0.8,C,0.0,0.4,0.8,LAL,0.4
543,543,6.9,0.48200000000000004,14.3,1.1,0.321,3.4,2.5,22,0.3,4.3,8.0,0.451,17.6,5.0,0.7959999999999999,6.2,80,76.0,NBA,37.0,2.1,2.9,Glen Robinson III ,21.9,SF,1.4,3.9,6.4,MIL,0.48200000000000004
544,544,6.5,0.48,13.6,1.1,0.342,3.2,3.6,23,0.5,4.5,7.6,0.45399999999999996,16.9,3.9,0.812,4.7,82,82.0,NBA,39.6,1.7,2.9,Glen Robinson III ,20.2,SF,1.2,3.4,6.1,MIL,0.486
545,545,7.6,0.48200000000000004,15.7,0.8,0.35,2.3,3.1,24,0.9,4.7,8.4,0.465,18.0,3.6,0.7909999999999999,4.6,80,79.0,NBA,38.9,1.6,2.8,Glen Robinson III ,21.1,SF,1.3,3.4,6.3,MIL,0.48700000000000004
546,546,9.1,0.475,19.1,0.4,0.385,1.2,2.8,25,0.6,4.0,9.5,0.47,20.3,3.8,0.8079999999999999,4.8,56,56.0,NBA,41.0,1.5,2.9,Glen Robinson III ,23.4,SF,1.2,3.6,5.5,MIL,0.48100000000000004
547,547,6.7,0.467,14.4,0.7,0.392,1.7,2.1,26,0.9,4.3,7.4,0.45899999999999996,16.1,3.0,0.87,3.4,47,47.0,NBA,33.6,1.6,2.4,Glen Robinson III ,18.4,SF,1.0,2.3,5.9,MIL,0.479
548,548,7.5,0.493,15.1,1.1,0.363,2.9,2.4,27,0.5,4.7,8.5,0.47200000000000003,18.0,2.8,0.802,3.5,81,81.0,NBA,35.9,1.3,2.6,Glen Robinson III ,20.9,SF,1.0,2.8,6.0,MIL,0.502
549,549,8.3,0.493,16.8,0.7,0.299,2.4,3.3,28,0.8,5.3,9.0,0.46799999999999997,19.2,3.3,0.82,4.0,76,74.0,NBA,37.0,1.6,2.5,Glen Robinson III ,22.0,SF,1.1,2.9,6.9,MIL,0.48700000000000004
550,550,7.2,0.493,14.7,0.9,0.326,2.7,2.5,29,0.6,5.1,8.1,0.467,17.4,3.6,0.8370000000000001,4.3,66,63.0,NBA,35.5,1.1,2.6,Glen Robinson III ,20.7,SF,1.5,2.6,6.2,MIL,0.493
551,551,6.5,0.456,14.3,1.3,0.342,3.8,3.0,30,0.4,5.4,7.8,0.43200000000000005,18.1,3.9,0.8759999999999999,4.4,69,68.0,NBA,37.6,1.2,2.7,Glen Robinson III ,20.8,SF,1.3,3.6,6.6,ATL,0.46799999999999997
552,552,5.7,0.469,12.2,0.8,0.34,2.4,1.4,31,0.2,3.4,6.5,0.44799999999999995,14.6,2.7,0.8320000000000001,3.3,42,42.0,NBA,31.8,1.1,2.3,Glen Robinson III ,16.6,SF,1.0,2.5,4.5,PHI,0.47600000000000003
553,553,3.6,0.451,7.9,0.2,0.33299999999999996,0.7,0.9,32,0.3,2.2,3.8,0.442,8.6,2.2,0.87,2.6,9,0.0,NBA,17.4,0.4,2.1,Glen Robinson III ,10.0,SF,0.4,0.8,2.7,SAS,0.455
556,556,1.6,0.483,3.4,0.5,0.337,1.4,1.0,25,0.1,2.6,2.1,0.44,4.8,0.7,0.63,1.0,70,1.0,NBA,14.0,1.0,1.2,Joffrey Lauvergne ,5.4,PF-C,0.4,0.8,3.6,TOT,0.49
557,557,1.7,0.506,3.3,0.5,0.34600000000000003,1.6,1.0,25,0.1,2.6,2.2,0.455,4.9,0.7,0.638,1.2,50,0.0,NBA,14.8,1.0,1.4,Joffrey Lauvergne ,5.7,PF,0.4,0.8,3.7,OKC,0.51
558,558,1.6,0.431,3.6,0.3,0.3,1.0,1.0,25,0.0,2.4,1.9,0.402,4.6,0.5,0.6,0.8,20,1.0,NBA,12.1,1.1,0.6,Joffrey Lauvergne ,4.5,C,0.4,0.8,3.4,CHI,0.435
559,559,1.2,0.457,2.6,0.5,0.386,1.3,1.6,22,0.0,0.7,1.7,0.433,3.9,0.4,0.84,0.5,53,2.0,NBA,11.1,0.2,1.1,Tyler Ennis ,4.3,PG,0.5,0.8,0.8,TOT,0.498
560,560,0.6,0.396,1.5,0.2,0.375,0.5,1.1,22,0.0,0.5,0.8,0.391,2.1,0.1,0.667,0.1,31,0.0,NBA,6.3,0.1,0.9,Tyler Ennis ,1.9,PG,0.2,0.8,0.6,HOU,0.43799999999999994
561,561,2.0,0.489,4.1,1.0,0.389,2.5,2.4,22,0.1,1.0,3.0,0.451,6.5,0.9,0.8640000000000001,1.0,22,2.0,NBA,17.8,0.2,1.3,Tyler Ennis ,7.7,PG,0.9,1.0,1.2,LAL,0.524
562,562,1.5,0.652,2.3,0.0,0.0,0.0,0.4,22,0.3,1.0,1.5,0.644,2.3,0.6,0.522,1.2,39,1.0,NBA,9.7,0.6,1.2,Montrezl Harrell ,3.6,PF,0.3,0.4,1.7,HOU,0.644
563,563,3.9,0.6629999999999999,5.8,0.0,0.14300000000000002,0.1,1.1,23,0.7,2.4,3.9,0.652,5.9,1.3,0.628,2.1,58,14.0,NBA,18.3,1.4,2.2,Montrezl Harrell ,9.1,C,0.3,0.8,3.8,HOU,0.654
564,564,1.8,0.611,3.0,0.0,,0.0,0.6,24,0.5,1.9,1.8,0.611,3.0,0.5,0.6,0.8,12,0.0,NBA,8.4,1.1,0.9,Montrezl Harrell ,4.2,C,0.3,0.3,3.0,LAC,0.611
565,565,2.1,0.596,3.5,0.2,0.182,0.9,0.6,22,0.8,1.4,2.2,0.514,4.4,1.0,0.6890000000000001,1.5,51,1.0,NBA,13.8,1.2,1.8,Richaun Holmes ,5.6,PF,0.4,0.6,2.6,PHI,0.532
566,566,3.6,0.606,5.9,0.5,0.35100000000000003,1.4,1.0,23,1.0,3.8,4.0,0.5579999999999999,7.2,1.3,0.6990000000000001,1.8,57,17.0,NBA,20.9,1.6,2.4,Richaun Holmes ,9.8,C,0.7,1.0,5.5,PHI,0.591
567,567,1.9,0.684,2.7,0.0,0.0,0.4,1.0,24,0.4,2.6,1.9,0.591,3.1,1.0,0.7,1.4,7,1.0,NBA,12.1,0.9,2.6,Richaun Holmes ,4.7,C,0.0,0.3,3.4,PHI,0.591
574,574,0.3,0.2,1.3,0.0,0.0,0.5,0.8,22,0.3,0.5,0.3,0.14300000000000002,1.8,0.3,0.5,0.5,4,0.0,NBA,13.0,0.3,1.5,Isaiah Taylor ,0.8,PG,0.3,0.0,0.8,HOU,0.14300000000000002
575,575,1.8,0.489,3.6,0.5,0.429,1.1,2.4,23,0.3,1.1,2.2,0.475,4.7,1.2,0.727,1.7,13,0.0,NBA,16.1,0.1,1.1,Isaiah Taylor ,6.2,PG,0.5,1.2,1.2,ATL,0.525
576,576,1.0,0.363,2.8,0.6,0.276,2.2,2.8,22,0.3,1.6,1.6,0.325,5.0,2.1,0.763,2.7,72,18.0,NBA,20.5,0.3,2.7,Andrew Harrison ,5.9,PG,0.7,1.2,1.9,MEM,0.385
577,577,1.0,0.44799999999999995,2.2,0.5,0.2,2.3,1.1,23,0.2,1.1,1.5,0.322,4.5,1.1,1.0,1.1,13,8.0,NBA,15.1,0.2,1.5,Andrew Harrison ,4.5,PG,0.4,0.8,1.2,MEM,0.373
579,579,0.9,0.5,1.8,0.4,0.28600000000000003,1.3,0.5,21,0.0,0.9,1.3,0.41200000000000003,3.1,0.7,0.789,0.9,22,0.0,NBA,9.0,0.1,1.0,Malachi Richardson ,3.6,SG,0.2,0.4,1.0,SAC,0.47100000000000003
580,580,0.7,0.33299999999999996,2.2,0.6,0.41200000000000003,1.5,0.5,22,0.0,0.8,1.4,0.366,3.7,0.7,0.727,1.0,11,0.0,NBA,12.0,0.2,1.3,Malachi Richardson ,4.1,SG,0.5,0.3,1.0,SAC,0.451
581,581,2.8,0.48,5.9,1.0,0.40399999999999997,2.6,4.2,24,0.2,2.2,3.9,0.457,8.5,1.5,0.865,1.7,75,28.0,NBA,26.4,0.6,1.9,Malcolm Brogdon ,10.2,SG,1.1,1.5,2.8,MIL,0.518
582,582,3.2,0.478,6.8,1.9,0.46399999999999997,4.1,3.5,25,0.2,2.6,5.1,0.473,10.8,1.4,0.857,1.6,17,10.0,NBA,31.4,0.1,2.5,Malcolm Brogdon ,13.5,PG,1.1,1.7,2.7,MIL,0.56
584,584,1.3,0.6,2.1,0.5,0.25,2.0,0.9,22,0.1,1.1,1.8,0.431,4.1,1.0,0.636,1.6,14,5.0,NBA,16.9,0.1,1.3,Wayne Selden ,5.1,SG,0.4,0.9,1.1,TOT,0.491
585,585,0.3,1.0,0.3,1.3,0.5710000000000001,2.3,0.3,22,0.0,1.7,1.7,0.625,2.7,0.7,0.5,1.3,3,3.0,NBA,15.7,0.0,2.0,Wayne Selden ,5.3,SG,0.7,1.0,1.7,NOP,0.875
586,586,1.5,0.586,2.6,0.3,0.14300000000000002,1.9,1.1,22,0.1,0.9,1.8,0.4,4.5,1.1,0.667,1.6,11,2.0,NBA,17.2,0.1,1.1,Wayne Selden ,5.0,SG,0.4,0.8,1.0,MEM,0.43
587,587,1.6,0.55,2.9,0.8,0.423,1.9,1.9,23,0.0,0.4,2.4,0.5,4.7,0.1,0.4,0.4,14,0.0,NBA,13.4,0.1,0.9,Quinn Cook ,5.6,PG,0.3,0.9,0.5,TOT,0.583
588,588,1.2,0.545,2.2,1.0,0.35700000000000004,2.8,2.4,23,0.0,0.6,2.2,0.44,5.0,0.0,0.0,0.4,5,0.0,NBA,15.4,0.0,1.2,Quinn Cook ,5.4,PG,0.2,1.6,0.6,DAL,0.54
589,589,1.8,0.552,3.2,0.7,0.5,1.3,1.6,23,0.0,0.3,2.4,0.537,4.6,0.2,0.667,0.3,9,0.0,NBA,12.3,0.1,0.8,Quinn Cook ,5.8,PG,0.3,0.6,0.4,NOP,0.61
591,591,1.4,0.45299999999999996,3.2,0.8,0.395,2.0,2.1,23,0.0,1.3,2.2,0.431,5.2,0.6,0.743,0.9,81,53.0,NBA,18.5,0.2,1.5,Raul Neto ,5.9,PG,0.8,1.3,1.5,UTA,0.507
592,592,0.8,0.517,1.5,0.3,0.32299999999999995,0.8,0.9,24,0.1,0.7,1.0,0.451,2.3,0.2,0.889,0.2,40,0.0,NBA,8.7,0.1,1.2,Raul Neto ,2.5,PG,0.5,0.4,0.8,UTA,0.505
593,593,1.4,0.5,2.8,0.6,0.444,1.4,2.0,25,0.2,1.2,2.0,0.48100000000000004,4.2,0.5,0.7,0.8,13,0.0,NBA,13.8,0.2,1.0,Raul Neto ,5.2,PG,0.5,0.8,1.4,UTA,0.556
596,596,5.3,0.44,12.1,0.8,0.264,3.0,6.3,22,0.6,4.8,6.1,0.405,15.1,3.7,0.703,5.2,70,70.0,NBA,34.5,1.4,3.0,Michael CarterWilliams ,16.7,PG,1.9,3.5,6.2,PHI,0.431
597,597,5.0,0.428,11.6,0.5,0.235,2.3,6.7,23,0.5,4.4,5.5,0.396,13.9,3.1,0.6940000000000001,4.4,66,63.0,NBA,32.6,1.0,2.5,Michael CarterWilliams ,14.6,PG,1.7,3.8,5.3,TOT,0.41600000000000004
598,598,4.9,0.41200000000000003,11.9,0.8,0.256,3.0,7.4,23,0.4,5.1,5.7,0.38,14.9,2.9,0.643,4.4,41,38.0,NBA,33.9,1.0,2.5,Michael CarterWilliams ,15.0,PG,1.5,4.2,6.2,PHI,0.406
599,599,5.1,0.457,11.2,0.2,0.14300000000000002,1.1,5.6,23,0.5,3.1,5.3,0.429,12.3,3.4,0.78,4.4,25,25.0,NBA,30.3,0.8,2.6,Michael CarterWilliams ,14.1,PG,2.0,3.2,4.0,MIL,0.435
600,600,4.4,0.47200000000000003,9.3,0.3,0.273,1.0,5.2,24,0.8,4.2,4.6,0.452,10.3,2.0,0.654,3.0,54,37.0,NBA,30.5,0.9,3.0,Michael CarterWilliams ,11.5,PG,1.5,2.8,5.1,MIL,0.466
601,601,2.2,0.401,5.4,0.3,0.23399999999999999,1.4,2.5,25,0.5,2.9,2.5,0.366,6.8,1.3,0.753,1.7,45,19.0,NBA,18.8,0.5,2.3,Michael CarterWilliams ,6.6,PG,0.8,1.5,3.4,CHI,0.391
602,602,0.5,0.16699999999999998,3.0,0.5,0.444,1.1,2.5,26,0.4,1.6,1.0,0.242,4.1,1.9,0.7140000000000001,2.6,8,0.0,NBA,15.4,0.9,2.1,Michael CarterWilliams ,4.4,PG,1.3,1.0,2.5,CHO,0.303
604,604,0.8,0.34,2.4,0.1,0.083,0.6,0.6,24,0.1,1.5,0.9,0.28800000000000003,3.0,0.4,0.43799999999999994,0.8,20,4.0,NBA,14.5,0.8,1.4,Brice Johnson ,2.1,C,0.4,0.7,2.3,ORL,0.297
605,605,1.0,0.33299999999999996,3.0,0.0,0.0,0.7,0.7,25,0.0,0.8,1.0,0.273,3.7,0.0,,0.0,6,1.0,NBA,14.5,0.8,1.7,Brice Johnson ,2.0,SF,0.2,0.5,1.7,IND,0.273
606,606,0.4,0.342,1.1,0.4,0.255,1.5,0.3,22,0.1,0.5,0.7,0.292,2.5,0.4,0.765,0.5,35,1.0,NBA,7.1,0.2,0.6,Jake Layman ,2.2,SF,0.3,0.3,0.7,POR,0.365
607,607,0.4,0.33299999999999996,1.1,0.3,0.4,0.6,0.3,23,0.3,0.5,0.6,0.35700000000000004,1.8,0.0,,0.0,8,0.0,NBA,5.3,0.0,0.6,Jake Layman ,1.5,SF,0.3,0.0,0.5,POR,0.429
608,608,0.7,0.667,1.0,0.1,0.25,0.3,0.2,23,0.2,1.1,0.8,0.563,1.3,0.3,0.5,0.5,12,0.0,NBA,4.4,0.3,0.1,Joel Bolomboy ,1.8,PF,0.1,0.2,1.4,UTA,0.594
609,609,0.3,0.33299999999999996,1.0,0.0,0.0,0.3,0.0,24,0.0,1.0,0.3,0.25,1.3,0.7,0.5,1.3,3,0.0,NBA,8.3,1.3,0.7,Joel Bolomboy ,1.3,PF,0.7,0.7,2.3,MIL,0.25
