,Unnamed: 0,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
344,344,4.8,0.392,12.3,0.2,0.429,0.4,0.9,27,,4.9,5.0,0.39399999999999996,12.7,1.2,0.769,1.5,17,,ABA,24.1,1.5,2.5,Stanley Johnson ,11.4,PF,,1.4,6.5,PTC,0.4
345,345,5.4,0.43700000000000006,12.4,0.3,0.325,0.8,1.5,27,,3.6,5.7,0.43,13.2,1.1,0.726,1.5,50,,ABA,22.5,1.8,2.3,Stanley Johnson ,12.6,PF,,1.3,5.4,CAR,0.44
346,346,9.2,0.45299999999999996,20.2,0.5,0.278,1.7,2.2,28,,5.2,9.6,0.44,21.9,2.4,0.8190000000000001,3.0,80,,ABA,36.9,2.2,3.2,Stanley Johnson ,22.1,PF,,2.0,7.5,SDA,0.451
347,347,7.8,0.445,17.6,0.7,0.311,2.3,1.5,29,0.2,4.2,8.5,0.429,19.9,2.4,0.847,2.8,84,,ABA,31.6,2.2,1.9,Stanley Johnson ,20.1,PF,0.9,1.6,6.3,SDA,0.447
348,348,7.7,0.45799999999999996,16.8,0.5,0.303,1.6,1.7,30,0.3,4.4,8.2,0.445,18.4,0.8,0.733,1.1,81,,ABA,34.7,1.7,2.8,Stanley Johnson ,17.7,PF,1.2,1.5,6.1,TOT,0.45799999999999996
349,349,7.7,0.43700000000000006,17.6,0.3,0.25,1.3,2.0,30,0.6,4.4,8.0,0.424,18.9,0.4,0.8,0.6,9,,ABA,28.1,1.2,3.2,Stanley Johnson ,16.8,PF,0.7,1.9,5.7,SDA,0.43200000000000005
350,350,7.7,0.461,16.7,0.5,0.308,1.7,1.7,30,0.3,4.4,8.2,0.447,18.4,0.8,0.728,1.1,72,,ABA,35.5,1.8,2.8,Stanley Johnson ,17.8,PF,1.3,1.4,6.1,MMS,0.461
351,351,3.0,0.326,9.2,0.1,0.077,0.7,1.2,31,0.1,1.3,3.1,0.31,9.9,0.9,0.818,1.1,20,,ABA,17.5,1.1,1.8,Stanley Johnson ,7.1,PF,0.4,0.7,2.4,TOT,0.312
352,352,4.0,0.35100000000000003,11.4,0.0,0.0,0.5,0.8,31,0.1,1.7,4.0,0.336,11.9,1.6,0.889,1.8,10,,ABA,22.7,1.2,1.9,Stanley Johnson ,9.6,PF,0.6,1.1,2.9,SDS,0.336
353,353,2.0,0.28600000000000003,7.0,0.1,0.125,0.8,1.5,31,0.0,0.9,2.1,0.26899999999999996,7.8,0.2,0.5,0.4,10,,ABA,12.3,1.0,1.6,Stanley Johnson ,4.5,PF,0.2,0.2,1.9,SAA,0.276
