,0
0,Cedi Osman 
1,Frank Ntilinkina 
2,Clint Capela 
3,Edrice Adebayo 
4,Luc Richard Mbah a Moute 
5,Metta World Peace 
6,Sheldon McLellan 
7,George De Paula 
8,Maxi Kleber 
9,Naz Long 
