PLAYER,POS,TEAM,AGE,YRS,DOLLARS,GUARANTEED,% GTD,AVG. SALARY,FREE AGENT
Russell Westbrook (2018-2022),PG,OKC,28,5,"$205,030,000.00","$205,030,000.00",100.00%,"$41,006,000.00",2023
Stephen Curry (2017-2021),PG,GSW,29,5,"$201,158,790.00","$201,158,790.00",100.00%,"$40,231,758.00",2022
Blake Griffin (2017-2021),PF,LAC,28,5,"$171,174,820.00","$171,174,820.00",100.00%,"$34,234,964.00",2022
James Harden (2019-2022),SG,HOU,28,4,"$169,344,000.00","$169,344,000.00",100.00%,"$42,336,000.00",2023
John Wall (2019-2022),PG,WAS,27,4,"$169,344,000.00","$169,344,000.00",100.00%,"$42,336,000.00",2023
Mike Conley (2016-2020),PG,MEM,29,5,"$152,605,576.00","$140,529,829.00",92.09%,"$30,521,115.00",2021
Damian Lillard (2016-2020),PG,POR,27,5,"$139,888,445.00","$139,888,445.00",100.00%,"$27,977,689.00",2021
DeMar DeRozan (2016-2020),SG,TOR,28,5,"$139,000,000.00","$137,500,000.00",98.92%,"$27,800,000.00",2021
Jrue Holiday (2017-2021),PG,NOP,27,5,"$131,805,000.00","$128,130,000.00",97.21%,"$26,361,000.00",2022
Gordon Hayward (2017-2020),SF,BOS,27,4,"$127,829,970.00","$127,829,970.00",100.00%,"$31,957,493.00",2021
Anthony Davis (2016-2020),PF,NOP,24,5,"$127,171,313.00","$127,171,313.00",100.00%,"$25,434,263.00",2021
Bradley Beal (2016-2020),SG,WAS,24,5,"$127,171,313.00","$127,171,313.00",100.00%,"$25,434,263.00",2021
Andre Drummond (2016-2020),C,DET,24,5,"$127,171,313.00","$127,171,313.00",100.00%,"$25,434,263.00",2021
Carmelo Anthony (2014-2018),SF,OKCSigned w/NYK,33,5,"$124,064,681.00","$124,064,681.00",100.00%,"$24,812,936.00",2019
Nicolas Batum (2016-2020),SG,CHA,28,5,"$120,000,000.00","$120,000,000.00",100.00%,"$24,000,000.00",2021
James Harden (2016-2019),SG,HOU,28,4,"$117,964,846.00","$117,964,846.00",100.00%,"$29,491,212.00",2020
Al Horford (2016-2019),C,BOS,31,4,"$113,326,228.00","$113,326,228.00",100.00%,"$28,331,557.00",2020
Marc Gasol (2015-2019),C,MEM,32,5,"$113,211,750.00","$113,211,750.00",100.00%,"$22,642,350.00",2020
Kevin Love (2015-2019),PF,CLE,29,5,"$113,211,750.00","$113,211,750.00",100.00%,"$22,642,350.00",2020
Chris Paul (2013-2017),PG,HOUSigned w/LAC,32,5,"$107,343,477.00","$107,343,477.00",100.00%,"$21,468,695.00",2018
C.J. McCollum (2017-2020),SG,POR,26,4,"$106,633,449.00","$106,633,449.00",100.00%,"$26,658,362.00",2021
Otto Porter Jr. (2017-2020),SF,WAS,24,4,"$106,524,975.00","$106,524,975.00",100.00%,"$26,631,244.00",2021
Rudy Gobert (2017-2020),C,UTH,25,4,"$102,000,000.00","$94,000,000.00",92.16%,"$25,500,000.00",2021
Kyle Lowry (2017-2019),PG,TOR,31,3,"$100,000,000.00","$93,000,000.00",93.00%,"$33,333,333.00",2020
Steven Adams (2017-2020),C,OKC,24,4,"$100,000,000.00","$100,000,000.00",100.00%,"$25,000,000.00",2021
Giannis Antetokounmpo (2017-2020),SF,MIL,22,4,"$100,000,000.00","$100,000,000.00",100.00%,"$25,000,000.00",2021
LeBron James (2016-2018),SF,CLE,32,3,"$99,857,127.00","$99,857,127.00",100.00%,"$33,285,709.00",2019
Hassan Whiteside (2016-2019),C,MIA,28,4,"$98,419,538.00","$98,419,538.00",100.00%,"$24,604,885.00",2020
Harrison Barnes (2016-2019),SF,DAL,25,4,"$94,438,525.00","$94,438,525.00",100.00%,"$23,609,631.00",2020
Chandler Parsons (2016-2019),SF,MEM,28,4,"$94,438,523.00","$94,438,523.00",100.00%,"$23,609,631.00",2020
Kyrie Irving (2015-2019),PG,BOSSigned w/CLE,25,5,"$94,343,126.00","$94,343,126.00",100.00%,"$18,868,625.00",2020
Kawhi Leonard (2015-2019),SF,SAS,26,5,"$94,343,126.00","$94,343,126.00",100.00%,"$18,868,625.00",2020
Jimmy Butler (2015-2019),SG,MINSigned w/CHI,28,5,"$92,339,878.00","$92,339,878.00",100.00%,"$18,467,976.00",2020
Paul George (2014-2018),SF,OKCSigned w/IND,27,5,"$91,572,660.00","$91,572,660.00",100.00%,"$18,314,532.00",2019
DeAndre Jordan (2015-2018),C,LAC,29,4,"$87,616,050.00","$87,616,050.00",100.00%,"$21,904,013.00",2019
Russell Westbrook (2016-2018),PG,OKC,28,3,"$85,591,823.00","$85,591,823.00",100.00%,"$28,530,608.00",2019
Goran Dragic (2015-2019),PG,MIA,31,5,"$85,002,250.00","$85,002,250.00",100.00%,"$17,000,450.00",2020
Evan Fournier (2016-2020),SG,ORL,24,5,"$85,000,000.00","$85,000,000.00",100.00%,"$17,000,000.00",2021
Victor Oladipo (2017-2020),SG,INDSigned w/OKC,25,4,"$85,000,000.00","$84,000,000.00",98.82%,"$21,250,000.00",2021
John Wall (2014-2018),PG,WAS,27,5,"$84,789,500.00","$84,789,500.00",100.00%,"$16,957,900.00",2019
LaMarcus Aldridge (2015-2018),PF,SAS,32,4,"$84,072,030.00","$84,072,030.00",100.00%,"$21,018,008.00",2019
Tristan Thompson (2015-2019),C,CLE,26,5,"$82,000,000.00","$82,000,000.00",100.00%,"$16,400,000.00",2020
Draymond Green (2015-2019),PF,GSW,27,5,"$82,000,000.00","$82,000,000.00",100.00%,"$16,400,000.00",2020
Ryan Anderson (2016-2019),PF,HOU,29,4,"$80,000,000.00","$80,000,000.00",100.00%,"$20,000,000.00",2020
Reggie Jackson (2015-2019),PG,DET,27,5,"$80,000,000.00","$80,000,000.00",100.00%,"$16,000,000.00",2020
Allen Crabbe (2016-2019),SF,BKNSigned w/POR,25,4,"$74,832,500.00","$74,832,500.00",100.00%,"$18,708,125.00",2020
Joakim Noah (2016-2019),C,NYK,32,4,"$72,590,000.00","$72,590,000.00",100.00%,"$18,147,500.00",2020
Luol Deng (2016-2019),SF,LAL,32,4,"$72,000,000.00","$72,000,000.00",100.00%,"$18,000,000.00",2020
Bismack Biyombo (2016-2019),PF,ORL,25,4,"$72,000,000.00","$68,000,000.00",94.44%,"$18,000,000.00",2020
Tim Hardaway Jr. (2017-2020),SG,NYK,25,4,"$70,950,000.00","$70,950,000.00",100.00%,"$17,737,500.00",2021
Dwight Howard (2016-2018),C,CHASigned w/ATL,31,3,"$70,500,000.00","$70,500,000.00",100.00%,"$23,500,000.00",2019
Wesley Matthews (2015-2018),SG,DAL,30,4,"$70,060,026.00","$70,060,026.00",100.00%,"$17,515,007.00",2019
Enes Kanter (2015-2018),PF,NYKSigned w/OKC,25,4,"$70,060,026.00","$70,060,026.00",100.00%,"$17,515,007.00",2019
Evan Turner (2016-2019),SF,POR,28,4,"$70,000,000.00","$70,000,000.00",100.00%,"$17,500,000.00",2020
Eric Bledsoe (2014-2018),PG,PHX,27,5,"$70,000,000.00","$70,000,000.00",100.00%,"$14,000,000.00",2019
Brandon Knight (2015-2019),PG,PHX,25,5,"$70,000,000.00","$70,000,000.00",100.00%,"$14,000,000.00",2020
Khris Middleton (2015-2019),SF,MIL,26,5,"$70,000,000.00","$70,000,000.00",100.00%,"$14,000,000.00",2020
Kent Bazemore (2016-2019),SF,ATL,28,4,"$70,000,000.00","$70,000,000.00",100.00%,"$17,500,000.00",2020
Dennis Schröder (2017-2020),PG,ATL,24,4,"$70,000,000.00","$62,000,000.00",88.57%,"$17,500,000.00",2021
Klay Thompson (2015-2018),SG,GSW,27,4,"$68,979,450.00","$68,979,450.00",100.00%,"$17,244,863.00",2019
DeMarcus Cousins (2014-2017),C,NOPSigned w/SAC,27,4,"$65,619,700.00","$65,619,700.00",100.00%,"$16,404,925.00",2018
Serge Ibaka (2017-2019),PF,TOR,28,3,"$65,000,000.00","$65,000,000.00",100.00%,"$21,666,667.00",2020
Danilo Gallinari (2017-2019),SF,LACSigned w/DEN,29,3,"$64,762,737.00","$64,762,737.00",100.00%,"$21,587,579.00",2020
Ian Mahinmi (2016-2019),C,WAS,30,4,"$64,000,000.00","$64,000,000.00",100.00%,"$16,000,000.00",2020
Timofey Mozgov (2016-2019),C,BKNSigned w/LAL,31,4,"$64,000,000.00","$64,000,000.00",100.00%,"$16,000,000.00",2020
Jonas Valanciunas (2016-2019),C,TOR,25,4,"$64,000,000.00","$64,000,000.00",100.00%,"$16,000,000.00",2020
Tobias Harris (2015-2018),PF,DETSigned w/ORL,25,4,"$64,000,000.00","$64,000,000.00",100.00%,"$16,000,000.00",2019
Brook Lopez (2015-2017),C,LALSigned w/BKN,29,3,"$63,497,025.00","$63,497,025.00",100.00%,"$21,165,675.00",2018
Gorgui Dieng (2017-2020),PF,MIN,27,4,"$62,800,000.00","$62,800,000.00",100.00%,"$15,700,000.00",2021
Paul Millsap (2017-2018),PF,DEN,32,2,"$61,000,000.00","$60,000,000.00",98.36%,"$30,500,000.00",2020
Marcin Gortat (2014-2018),C,WAS,33,5,"$60,000,000.00","$60,000,000.00",100.00%,"$12,000,000.00",2019
DeMarre Carroll (2015-2018),SF,BKNSigned w/TOR,31,4,"$58,000,000.00","$58,000,000.00",100.00%,"$14,500,000.00",2019
Omer Asik (2015-2019),C,NOP,31,5,"$57,977,525.00","$43,999,998.00",75.89%,"$11,595,505.00",2020
J.R. Smith (2016-2019),SG,CLE,32,4,"$57,000,000.00","$45,150,000.00",79.21%,"$14,250,000.00",2020
George Hill (2017-2019),PG,SAC,31,3,"$57,000,000.00","$40,000,000.00",70.18%,"$19,000,000.00",2020
Jeff Teague (2017-2019),PG,MIN,29,3,"$57,000,000.00","$57,000,000.00",100.00%,"$19,000,000.00",2020
Cody Zeller (2017-2020),PF,CHA,24,4,"$56,000,000.00","$56,000,000.00",100.00%,"$14,000,000.00",2021
Ricky Rubio (2015-2018),PG,UTHSigned w/MIN,26,4,"$55,000,000.00","$55,000,000.00",100.00%,"$13,750,000.00",2019
Marvin Williams (2016-2019),PF,CHA,31,4,"$54,512,500.00","$54,512,500.00",100.00%,"$13,628,125.00",2020
Robin Lopez (2015-2018),C,CHISigned w/NYK,29,4,"$54,015,500.00","$54,015,500.00",100.00%,"$13,503,875.00",2019
Thaddeus Young (2015-2018),PF,INDSigned w/BKN,29,4,"$54,000,000.00","$50,000,000.00",92.59%,"$13,500,000.00",2019
Nikola Vucevic (2015-2018),C,ORL,26,4,"$53,000,000.00","$48,000,000.00",90.57%,"$13,250,000.00",2019
Eric Gordon (2016-2019),SG,HOU,28,4,"$52,886,489.00","$52,886,489.00",100.00%,"$13,221,622.00",2020
Tyson Chandler (2015-2018),C,PHX,34,4,"$52,000,000.00","$52,000,000.00",100.00%,"$13,000,000.00",2019
Michael Kidd-Gilchrist (2016-2019),SF,CHA,24,4,"$52,000,000.00","$52,000,000.00",100.00%,"$13,000,000.00",2020
Dion Waiters (2017-2020),SG,MIA,25,4,"$52,000,000.00","$47,300,000.00",90.96%,"$13,000,000.00",2021
Joe Ingles (2017-2020),SF,UTH,29,4,"$52,000,000.00","$50,000,000.00",96.15%,"$13,000,000.00",2021
Greg Monroe (2015-2017),C,MIL,27,3,"$51,437,513.00","$51,437,513.00",100.00%,"$17,145,838.00",2018
Kevin Durant (2017-2018),SF,GSW,29,2,"$51,250,000.00","$51,250,000.00",100.00%,"$25,625,000.00",2019
T.J. Warren (2018-2021),SF,PHX,24,4,"$50,000,000.00","$50,000,000.00",100.00%,"$12,500,000.00",2022
Kenneth Faried (2015-2018),PF,DEN,27,4,"$50,000,000.00","$50,000,000.00",100.00%,"$12,500,000.00",2019
Miles Plumlee (2016-2019),C,ATLSigned w/MIL,29,4,"$50,000,000.00","$50,000,000.00",100.00%,"$12,500,000.00",2020
Kelly Olynyk (2017-2020),C,MIA,26,4,"$50,000,000.00","$45,610,826.00",91.22%,"$12,500,000.00",2021
Jordan Clarkson (2016-2019),SG,LAL,25,4,"$50,000,000.00","$50,000,000.00",100.00%,"$12,500,000.00",2020
Tyler Johnson (2016-2019),SG,MIA,24,4,"$50,000,000.00","$50,000,000.00",100.00%,"$12,500,000.00",2020
Patrick Mills (2017-2020),PG,SAS,29,4,"$49,714,285.00","$49,714,285.00",100.00%,"$12,428,571.00",2021
Courtney Lee (2016-2019),SG,NYK,31,4,"$48,003,340.00","$48,003,340.00",100.00%,"$12,000,835.00",2020
Pau Gasol (2017-2019),PF,SAS,37,3,"$48,000,000.00","$39,500,000.00",82.29%,"$16,000,000.00",2020
Andre Iguodala (2017-2019),SG,GSW,33,3,"$48,000,000.00","$48,000,000.00",100.00%,"$16,000,000.00",2020
Kemba Walker (2015-2018),PG,CHA,27,4,"$48,000,000.00","$48,000,000.00",100.00%,"$12,000,000.00",2019
John Henson (2016-2019),PF,MIL,26,4,"$48,000,000.00","$44,000,000.00",91.67%,"$12,000,000.00",2020
Solomon Hill (2016-2019),SF,NOP,26,4,"$48,000,000.00","$48,000,000.00",100.00%,"$12,000,000.00",2020
Derrick Favors (2014-2017),PF,UTH,26,4,"$46,950,000.00","$46,950,000.00",100.00%,"$11,737,500.00",2018
Wilson Chandler (2015-2018),SF,DEN,30,4,"$46,500,000.00","$46,500,000.00",100.00%,"$11,625,000.00",2019
Tony Snell (2017-2020),SF,MIL,25,4,"$46,000,000.00","$44,000,000.00",95.65%,"$11,500,000.00",2021
Tony Parker (2015-2017),PG,SAS,35,3,"$43,335,939.00","$43,335,939.00",100.00%,"$14,445,313.00",2018
James Johnson (2017-2019),PF,MIA,30,3,"$43,295,100.00","$43,295,100.00",100.00%,"$14,431,700.00",2021
Maurice Harkless (2016-2019),PF,POR,24,4,"$42,000,000.00","$40,000,000.00",95.24%,"$10,500,000.00",2020
Josh Richardson (2018-2021),SG,MIA,24,4,"$42,000,000.00","$42,000,000.00",100.00%,"$10,500,000.00",2022
Alec Burks (2015-2018),PG,UTH,26,4,"$42,000,000.00","$41,000,000.00",97.62%,"$10,500,000.00",2019
Jon Leuer (2016-2019),PF,DET,28,4,"$42,000,000.00","$42,000,000.00",100.00%,"$10,500,000.00",2020
Meyers Leonard (2016-2019),C,POR,25,4,"$41,000,000.00","$41,000,000.00",100.00%,"$10,250,000.00",2020
Mason Plumlee (2017-2019),C,DEN,27,3,"$41,000,000.00","$41,000,000.00",100.00%,"$13,666,667.00",2020
Danny Green (2015-2018),SG,SAS,30,4,"$40,000,000.00","$40,000,000.00",100.00%,"$10,000,000.00",2019
Iman Shumpert (2015-2018),SG,CLE,27,4,"$40,000,000.00","$40,000,000.00",100.00%,"$10,000,000.00",2019
Matthew Dellavedova (2016-2019),PG,MIL,27,4,"$38,430,000.00","$38,430,000.00",100.00%,"$9,607,500.00",2020
Jeremy Lin (2016-2018),PG,BKN,29,3,"$38,300,000.00","$38,300,000.00",100.00%,"$12,766,667.00",2019
Dwight Powell (2016-2019),PF,DAL,26,4,"$37,268,750.00","$37,268,750.00",100.00%,"$9,317,188.00",2020
Austin Rivers (2016-2018),SG,LAC,27,3,"$35,475,000.00","$35,475,000.00",100.00%,"$11,825,000.00",2019
Jae Crowder (2015-2019),SF,CLESigned w/BOS,27,5,"$35,000,000.00","$35,000,000.00",100.00%,"$7,000,000.00",2020
E'Twaun Moore (2016-2019),SG,NOP,28,4,"$34,000,000.00","$34,000,000.00",100.00%,"$8,500,000.00",2020
Kosta Koufos (2015-2018),C,SAC,28,4,"$32,879,000.00","$32,879,000.00",100.00%,"$8,219,750.00",2019
Trevor Ariza (2014-2017),SF,HOUSigned w/WAS,32,4,"$32,000,002.00","$32,000,002.00",100.00%,"$8,000,001.00",2018
Channing Frye (2014-2017),PF,CLESigned w/ORL,34,4,"$32,000,000.00","$32,000,000.00",100.00%,"$8,000,000.00",2018
Avery Bradley (2014-2017),SG,DETSigned w/BOS,26,4,"$32,000,000.00","$32,000,000.00",100.00%,"$8,000,000.00",2018
Markieff Morris (2015-2018),PF,WASSigned w/PHX,28,4,"$32,000,000.00","$32,000,000.00",100.00%,"$8,000,000.00",2019
Cristiano Felicio (2017-2020),PF,CHI,25,4,"$32,000,000.00","$32,000,000.00",100.00%,"$8,000,000.00",2021
P.J. Tucker (2017-2020),SF,HOU,32,4,"$31,878,148.00","$26,477,799.00",83.06%,"$7,969,537.00",2021
Terrence Ross (2016-2018),SF,ORLSigned w/TOR,26,3,"$31,500,000.00","$31,500,000.00",100.00%,"$10,500,000.00",2019
Mirza Teletovic (2016-2018),PF,MIL,32,3,"$31,500,000.00","$31,500,000.00",100.00%,"$10,500,000.00",2019
Jared Dudley (2016-2018),PF,PHX,32,3,"$30,000,000.00","$30,000,000.00",100.00%,"$10,000,000.00",2019
Al Jefferson (2016-2018),C,IND,32,3,"$30,000,000.00","$24,000,000.00",80.00%,"$10,000,000.00",2019
Al-Farouq Aminu (2015-2018),SF,POR,27,4,"$30,000,000.00","$30,000,000.00",100.00%,"$7,500,000.00",2019
Andre Roberson (2017-2019),SG,OKC,25,3,"$30,000,000.00","$30,000,000.00",100.00%,"$10,000,000.00",2020
Cory Joseph (2015-2018),PG,INDSigned w/TOR,26,4,"$29,890,000.00","$29,890,000.00",100.00%,"$7,472,500.00",2019
D.J. Augustin (2016-2019),PG,ORL,29,4,"$29,000,000.00","$29,000,000.00",100.00%,"$7,250,000.00",2020
Taj Gibson (2017-2018),PF,MIN,32,2,"$28,000,000.00","$28,000,000.00",100.00%,"$14,000,000.00",2019
Lance Thomas (2016-2019),SF,NYK,29,4,"$27,549,950.00","$27,549,950.00",100.00%,"$6,887,488.00",2020
Isaiah Thomas (2014-2017),PG,CLESigned w/SAC,28,4,"$27,000,002.00","$27,000,002.00",100.00%,"$6,750,001.00",2018
Nikola Mirotic (2017-2017),PF,CHI,26,2,"$27,000,000.00","$12,980,769.00",48.08%,"$13,500,000.00",2019
Jerryd Bayless (2016-2018),PG,PHI,29,3,"$27,000,000.00","$27,000,000.00",100.00%,"$9,000,000.00",2019
Bogdan Bogdanovic (2017-2019),SG,SAC,25,3,"$27,000,000.00","$27,000,000.00",100.00%,"$9,000,000.00",2020
C.J. Miles (2017-2019),SG,TORSigned w/IND,30,3,"$25,000,000.00","$25,000,000.00",100.00%,"$8,333,333.00",2020
Andrew Wiggins (2014-2017),SF,MINSigned w/CLE,22,4,"$24,850,243.00","$24,850,243.00",100.00%,"$6,212,561.00",2018
Zach Randolph (2017-2018),PF,SAC,36,2,"$24,000,000.00","$24,000,000.00",100.00%,"$12,000,000.00",2019
Garrett Temple (2016-2018),SG,SAC,31,3,"$24,000,000.00","$24,000,000.00",100.00%,"$8,000,000.00",2019
Shaun Livingston (2017-2019),PG,GSW,32,3,"$23,692,308.00","$18,000,000.00",75.97%,"$7,897,436.00",2020
Corey Brewer (2015-2017),SG,LALSigned w/HOU,31,3,"$23,420,913.00","$23,420,913.00",100.00%,"$7,806,971.00",2018
Patrick Beverley (2015-2018),PG,LACSigned w/HOU,29,4,"$23,027,026.00","$17,999,999.00",78.17%,"$5,756,757.00",2019
J.J. Redick (2017-2017),SG,PHI,33,1,"$23,000,000.00","$23,000,000.00",100.00%,"$23,000,000.00",2018
Darrell Arthur (2016-2018),PF,DEN,29,3,"$23,000,000.00","$23,000,000.00",100.00%,"$7,666,667.00",2019
Josh McRoberts (2014-2017),PF,DALSigned w/MIA,30,4,"$22,652,350.00","$22,652,350.00",100.00%,"$5,663,088.00",2018
Jabari Parker (2014-2016),PF,MIL,22,3,"$22,239,712.00","$22,239,712.00",100.00%,"$7,413,237.00",2018
Kyle Korver (2017-2019),SG,CLE,36,3,"$22,060,000.00","$18,000,000.00",81.60%,"$7,353,333.00",2020
Cole Aldrich (2016-2018),C,MIN,28,3,"$21,900,000.00","$21,900,000.00",100.00%,"$7,300,000.00",2019
Joe Johnson (2016-2017),SF,UTH,36,2,"$21,505,000.00","$21,505,000.00",100.00%,"$10,752,500.00",2018
Louis Williams (2015-2017),SG,LACSigned w/LAL,30,3,"$21,000,000.00","$21,000,000.00",100.00%,"$7,000,000.00",2018
Bojan Bogdanovic (2017-2018),SF,IND,28,2,"$21,000,000.00","$12,000,000.00",57.14%,"$10,500,000.00",2019
Jeremy Lamb (2016-2018),SG,CHA,25,3,"$21,000,000.00","$21,000,000.00",100.00%,"$7,000,000.00",2019
Langston Galloway (2017-2019),PG,DET,25,3,"$21,000,000.00","$21,000,000.00",100.00%,"$7,000,000.00",2020
Boban Marjanovic (2016-2018),C,DET,29,3,"$21,000,000.00","$21,000,000.00",100.00%,"$7,000,000.00",2019
Alexis Ajinca (2015-2018),C,NOP,29,4,"$20,200,000.00","$19,200,000.00",95.05%,"$5,050,000.00",2019
Darren Collison (2017-2018),PG,IND,30,2,"$20,000,000.00",-,-,"$10,000,000.00",2019
Ed Davis (2015-2017),PF,POR,28,3,"$20,000,000.00","$20,000,000.00",100.00%,"$6,666,667.00",2018
Marcus Morris (2015-2018),PF,BOSSigned w/PHX,28,4,"$20,000,000.00","$20,000,000.00",100.00%,"$5,000,000.00",2019
Jonathon Simmons (2017-2019),SG,ORL,28,3,"$20,000,000.00","$13,300,000.00",66.50%,"$6,666,667.00",2020
Joel Embiid (2014-2017),C,PHI,23,4,"$19,981,026.00","$19,981,026.00",100.00%,"$4,995,257.00",2018
Marco Belinelli (2015-2017),SF,ATLSigned w/SAC,31,3,"$19,000,000.00","$19,000,000.00",100.00%,"$6,333,333.00",2018
Kyle Singler (2015-2018),SF,OKC,29,4,"$19,000,000.00","$19,000,000.00",100.00%,"$4,750,000.00",2020
Kristaps Porzingis (2015-2018),PF,NYK,22,4,"$18,650,094.00","$18,650,094.00",100.00%,"$4,662,524.00",2019
Trevor Booker (2016-2017),PF,BKN,29,2,"$18,375,000.00","$18,375,000.00",100.00%,"$9,187,500.00",2018
Aaron Gordon (2014-2017),SF,ORL,22,4,"$18,019,460.00","$18,019,460.00",100.00%,"$4,504,865.00",2018
Ishmael Smith (2016-2018),PG,DET,29,3,"$18,000,000.00","$18,000,000.00",100.00%,"$6,000,000.00",2019
Karl-Anthony Towns (2015-2017),C,MIN,21,3,"$17,880,600.00","$17,880,600.00",100.00%,"$5,960,200.00",2019
Kentavious Caldwell-Pope (2017-2017),SG,LAL,24,1,"$17,745,894.00","$17,745,894.00",100.00%,"$17,745,894.00",2018
Wesley Johnson (2016-2018),SG,LAC,30,3,"$17,643,780.00","$17,643,780.00",100.00%,"$5,881,260.00",2019
Rudy Gay (2017-2018),SF,SAS,31,2,"$17,232,300.00","$17,232,300.00",100.00%,"$8,616,150.00",2019
Alex Abrines (2016-2018),SG,OKC,24,3,"$17,175,000.00","$17,175,000.00",100.00%,"$5,725,000.00",2019
Brandan Wright (2015-2017),PF,MEM,29,3,"$17,129,640.00","$17,129,640.00",100.00%,"$5,709,880.00",2018
Alan Williams (2017-2019),PF,PHX,24,3,"$17,000,000.00","$6,000,000.00",35.29%,"$5,666,667.00",2020
JaMychal Green (2017-2018),PF,MEM,27,2,"$17,000,000.00","$17,000,000.00",100.00%,"$8,500,000.00",2019
Devin Harris (2014-2017),PG,DAL,34,4,"$16,562,884.00","$13,500,000.00",81.51%,"$4,140,721.00",2018
Patrick Patterson (2017-2019),PF,OKC,28,3,"$16,354,800.00","$16,354,800.00",100.00%,"$5,451,600.00",2020
Dante Exum (2014-2017),SG,UTH,22,4,"$16,325,425.00","$16,325,425.00",100.00%,"$4,081,356.00",2018
Kyle O'Quinn (2015-2018),C,NYKSigned w/ORL,27,4,"$16,012,500.00","$16,012,500.00",100.00%,"$4,003,125.00",2019
Jose Barea (2015-2018),PG,DAL,33,4,"$16,001,700.00","$16,001,700.00",100.00%,"$4,000,425.00",2019
D'Angelo Russell (2015-2017),PG,BKNSigned w/LAL,21,3,"$15,998,280.00","$15,998,280.00",100.00%,"$5,332,760.00",2019
Jason Smith (2016-2018),PF,WAS,31,3,"$15,675,000.00","$15,675,000.00",100.00%,"$5,225,000.00",2019
Markelle Fultz (2017-2018),PG,PHI,19,2,"$15,366,120.00","$15,366,120.00",100.00%,"$7,683,060.00",2021
Marcus Smart (2014-2017),PG,BOS,23,4,"$14,831,260.00","$14,831,260.00",100.00%,"$3,707,815.00",2018
Jahlil Okafor (2015-2017),C,PHI,21,3,"$14,366,640.00","$14,366,640.00",100.00%,"$4,788,880.00",2019
Nerlens Noel (2013-2016),C,DALSigned w/PHI,23,4,"$14,329,730.00","$14,329,730.00",100.00%,"$3,582,433.00",2017
Dewayne Dedmon (2017-2018),C,ATL,28,2,"$14,100,000.00","$12,300,000.00",87.23%,"$7,050,000.00",2019
Quincy Pondexter (2014-2017),SF,CHISigned w/MEM,29,4,"$14,000,000.00","$14,000,000.00",100.00%,"$3,500,000.00",2018
Lonzo Ball (2017-2018),PG,LAL,19,2,"$13,748,520.00","$13,748,520.00",100.00%,"$6,874,260.00",2021
Jameer Nelson (2015-2017),PG,DEN,35,3,"$13,621,575.00","$13,621,575.00",100.00%,"$4,540,525.00",2018
Julius Randle (2014-2017),PF,LAL,22,4,"$13,545,962.00","$13,545,962.00",100.00%,"$3,386,491.00",2018
Nik Stauskas (2014-2017),SG,PHISigned w/SAC,23,4,"$12,415,467.00","$12,415,467.00",100.00%,"$3,103,867.00",2018
Jayson Tatum (2017-2018),SF,BOS,19,2,"$12,346,200.00","$12,346,200.00",100.00%,"$6,173,100.00",2021
Milos Teodosic (2017-2018),PG,LAC,30,2,"$12,300,000.00","$8,100,000.00",65.85%,"$6,150,000.00",2019
Wayne Ellington (2016-2017),SG,MIA,29,2,"$12,270,000.00","$12,270,000.00",100.00%,"$6,135,000.00",2018
Ben Simmons (2016-2017),PF,PHI,21,2,"$12,072,000.00","$12,072,000.00",100.00%,"$6,036,000.00",2020
Shelvin Mack (2017-2018),PG,ORL,27,2,"$12,000,000.00","$7,000,000.00",58.33%,"$6,000,000.00",2019
Mario Hezonja (2015-2017),SF,ORL,22,3,"$11,729,640.00","$11,729,640.00",100.00%,"$3,909,880.00",2019
Nemanja Bjelica (2015-2017),PF,MIN,29,3,"$11,700,000.00","$11,700,000.00",100.00%,"$3,900,000.00",2018
Noah Vonleh (2014-2017),PF,PORSigned w/CHA,22,4,"$11,418,513.00","$11,418,513.00",100.00%,"$2,854,628.00",2018
Justise Winslow (2015-2018),SF,MIA,21,4,"$11,229,126.00","$11,229,126.00",100.00%,"$2,807,282.00",2019
Josh Jackson (2017-2018),SF,PHX,20,2,"$11,131,560.00","$11,131,560.00",100.00%,"$5,565,780.00",2021
Trey Burke (2013-2016),PG,WASSigned w/UTH,24,4,"$11,032,158.00","$11,032,158.00",100.00%,"$2,758,040.00",2017
Amir Johnson (2017-2017),PF,PHI,30,1,"$11,000,000.00","$11,000,000.00",100.00%,"$11,000,000.00",2018
Nene Hilario (2017-2019),PF,HOU,35,3,"$10,954,440.00","$10,954,440.00",100.00%,"$3,651,480.00",2020
Elfrid Payton (2014-2017),PG,ORL,23,4,"$10,849,500.00","$10,849,500.00",100.00%,"$2,712,375.00",2018
Myles Turner (2015-2018),C,IND,21,4,"$10,801,804.00","$10,801,804.00",100.00%,"$2,700,451.00",2019
Brandon Ingram (2016-2017),SF,LAL,20,2,"$10,801,080.00","$10,801,080.00",100.00%,"$5,400,540.00",2020
Ben McLemore (2017-2018),SG,MEM,24,2,"$10,660,000.00","$10,660,000.00",100.00%,"$5,330,000.00",2019
Willie Cauley-Stein (2015-2017),PF,SAC,24,3,"$10,653,600.00","$10,653,600.00",100.00%,"$3,551,200.00",2019
Will Barton (2015-2017),SG,DEN,26,3,"$10,599,999.00","$10,599,999.00",100.00%,"$3,533,333.00",2018
Thabo Sefolosha (2017-2018),SF,UTH,33,2,"$10,500,000.00","$5,250,000.00",50.00%,"$5,250,000.00",2019
