PLAYER,POS,TEAM,AGE,YRS,DOLLARS,GUARANTEED,% GTD,AVG. SALARY,FREE AGENT
Josh Hart (2017-2018),SG,LAL,22,2,"$3,049,680.00","$3,049,680.00",100.00%,"$1,524,840.00",2021
Isaiah Taylor (2016-2018),PG,HOU,23,3,"$3,001,422.00","$143,860.00",4.79%,"$1,000,474.00",2019
Andrew Harrison (2016-2018),PG,MEM,22,3,"$2,982,807.00","$1,932,525.00",64.79%,"$994,269.00",2019
Furkan Korkmaz (2017-2018),SG,PHI,20,2,"$2,965,520.00","$2,965,520.00",100.00%,"$1,482,760.00",2021
Malachi Richardson (2016-2017),SG,SAC,21,2,"$2,944,440.00","$2,944,440.00",100.00%,"$1,472,220.00",2020
Malcolm Brogdon (2016-2018),PG,MIL,24,3,"$2,930,511.00","$1,880,249.00",64.16%,"$976,837.00",2019
Spencer Dinwiddie (2016-2018),PG,BKN,24,3,"$2,903,733.00","$776,672.00",26.75%,"$967,911.00",2019
Wayne Selden (2017-2018),SG,MEM,23,2,"$2,857,562.00","$1,312,611.00",45.93%,"$1,428,781.00",2019
Quinn Cook (2017-2018),PG,ATL,24,2,"$2,857,562.00","$100,000.00",3.50%,"$1,428,781.00",2019
Diamond Stone (2017-2018),C,CHI,20,2,"$2,857,562.00","$50,000.00",1.75%,"$1,428,781.00",2019
Raul Neto (2015-2017),PG,UTH,25,3,"$2,732,546.00","$1,717,800.00",62.86%,"$910,849.00",2018
Timothe Luwawu-Cabarrot (2016-2017),SF,PHI,22,2,"$2,713,560.00","$2,713,560.00",100.00%,"$1,356,780.00",2020
Jerami Grant (2014-2016),SF,OKCSigned w/PHI,23,3,"$2,710,369.00","$2,710,369.00",100.00%,"$903,456.00",2018
Michael Carter-Williams (2017-2017),PG,CHA,25,1,"$2,700,000.00","$2,700,000.00",100.00%,"$2,700,000.00",0
A.J. Hammons (2016-2018),C,MIASigned w/DAL,25,3,"$2,605,511.00","$2,605,511.00",100.00%,"$868,504.00",2019
